phenotype name,Synonyms,hpo_id,database_cross_reference
Perimembranous ventricular septal defect,"Membranous ventricular septal defect|Perimembraneous ventricular septal defect|Conoventricular ventricular septal defect|Type 2 ventricular septal defect|Paramembranous ventricular septal defect|Ventricular septal defect, perimembranous",HP:0011682,SNOMEDCT_US:109428005|Fyler:1310|UMLS:C0344925
Poor appetite,Loss of appetite|Decreased appetite|Poor appetite|No appetite,HP:0004396,SNOMEDCT_US:64379006|UMLS:C0232462
Laterally sloping humeral metaphysis,Laterally sloping metaphysis of long bone of upper arm,HP:0003921,UMLS:C4025506
Congenital diaphragmatic hernia,Diaphragmatic hernia,HP:0000776,MSH:D065630|UMLS:C0235833|SNOMEDCT_US:17190001
J wave,EKG J waves|Osborne waves,HP:0012272,UMLS:C4018858
Renal diverticulum,Pelvic diverticulum|Caliceal diverticulum|Renal pelvic diverticulum,HP:0100877,UMLS:C2315541|SNOMEDCT_US:433036004
Enlarged epiphysis of the proximal phalanx of the hallux,Enlarged end part of the innermost bone of the big toe,HP:0010130,UMLS:C4024029
Increased urinary sulfite,,HP:0011942,UMLS:C1848957
Irregular distal femoral epiphysis,Irregular outermost thighbone end part,HP:0006407,UMLS:C4025050
Cavernous hemangioma of the face,,HP:0007486,NCIT:C3086|UMLS:C1332863
Cholesteatoma,,HP:0009797,SNOMEDCT_US:575006|SNOMEDCT_US:363668000|UMLS:C0008373|MSH:D002781
Pseudoepiphysis of the proximal phalanx of the 5th toe,,HP:0100231,UMLS:C4022190
Polymorphous posterior corneal dystrophy,,HP:0007915,MSH:C562745|UMLS:C0339284|SNOMEDCT_US:29504002
Sphincter of Oddi dyskinesia,Sphincter of Oddi dysfunction,HP:0012441,SNOMEDCT_US:430887001|UMLS:C0878588|MSH:D046628|UMLS:C4048750
Reye syndrome-like episodes,,HP:0006582,UMLS:C1850413
Calcium oxalate nephrolithiasis,Ca oxalate nephrolithiasis|Calcium oxalate kidney stones|Ca2+ oxalate urolithiasis|Ca oxalate urolithiasis|Ca oxalate kidney stone|Oxalate nephrolithiasis|Ca2+ oxalate nephrolithiasis|Ca2+ oxalate kidney stone|Calcium oxalate urolithiasis,HP:0008672,UMLS:C1833683|SNOMEDCT_US:444717006|UMLS:C4280806|MSH:C563477
Abnormality of ductus venosus blood flow,,HP:0010947,UMLS:C4023632
Abnormal globus pallidus morphology,,HP:0002453,UMLS:C4025706
Neoplasm of the scrotum,Neoplasia of the scrotum|Scrotum tumour|Scrotum tumor,HP:0100849,UMLS:C0341790|SNOMEDCT_US:126905005|NCIT:C3262
Increased phosphoribosylpyrophosphate synthetase level,Increased PRPS1 activity|Increased phosphoribosyl pyrophosphate synthetase activity,HP:0003240,UMLS:C4025637
Pituitary hypothyroidism,Thyrotropin deficiency|Thyroid stimulating hormone deficiency|Low thyroid gland function due to abnormal pituitary gland|TSH deficient hypothyroidism|Secondary hypothyroidism,HP:0008245,SNOMEDCT_US:82598004|UMLS:C3665349
Abnormal 4th finger morphology,Abnormality of the 4th finger|Abnormality of the ring finger,HP:0004188,UMLS:C4021680
Abnormality of the reflex of the tensor tympani muscle,,HP:0040120,UMLS:C4022427
Pterygium,Surfer's eye|Pterygia,HP:0001059,SNOMEDCT_US:77489003|UMLS:C0033999|MSH:D011625
Rectoperineal fistula,,HP:0004792,UMLS:C0240880
Cortical diaphyseal irregularity of the upper limbs,,HP:0003858,UMLS:C4025549
Cellular metachromasia,,HP:0003653,UMLS:C4025583
Aplasia/Hypoplasia of the diaphragm,Absent/small diaprhagm|Absent/underdeveloped diaprhagm,HP:0010315,UMLS:C4023910
Abnormality of earlobe,Abnormality of auricular lobule|Abnormality of earlobe|Abnormal lobe of ear|Abnormality of ear lobe|Abnormal earlobe|Abnormality of lobulus auriculae,HP:0000363,UMLS:C4021808
Low intestinal alkaline phosphatase,Low intestinal ALP,HP:0010687,UMLS:C4023738
Arterial thrombosis,Blood clot in artery,HP:0004420,SNOMEDCT_US:65198009|UMLS:C0151942
Elevated urinary carboxylic acid,,HP:0040156,UMLS:C4022413
Vocal tremor,Vocal tremor|Shakey voice,HP:0012477,UMLS:C4022889
Xanthelasma,Xanthelasma palpebrarum|Xanthoma|Fatty deposits on eyelids|Fatty deposits in skin around the eyes|Xanthoma of eyelid|Xanthoma of periocular region|Xanthelasma of eyelid|Xanthelasma of periocular region,HP:0001114,UMLS:C0155210|UMLS:C4280602|SNOMEDCT_US:75594004|SNOMEDCT_US:63103006|UMLS:C0302314|SNOMEDCT_US:6400008|MSH:D014973|UMLS:C4280601
Pseudobulbar behavioral symptoms,Pseudobulbar behavioural symptoms,HP:0002193,UMLS:C4025720
Absent fifth toenail,Missing fifth toenail|Absent fifth toenail,HP:0200105,UMLS:C4021892
Abnormality of thyroid physiology,Abnormal thyroid function,HP:0002926,UMLS:C0857576
Abnormal urinary copper concentration,Abnormal urinary copper concentration,HP:0045036,UMLS:C4073165
Follicular hyperkeratosis,Hyperkeratosis follicularis,HP:0007502,SNOMEDCT_US:402341008|UMLS:C0334013|SNOMEDCT_US:238629004|SNOMEDCT_US:81845009
Abnormality of the protein C anticoagulant pathway,,HP:0030780,UMLS:C4280774
EEG with periodic complexes,EEG: periodic complexes|Radermecker complexes,HP:0010856,UMLS:C4021212
Cone-shaped epiphyses of the 5th finger,Cone-shaped end part of the pinkie finger bones|Cone-shaped end part of the little finger bones|Cone-shaped end part of the pinky finger bones,HP:0009384,UMLS:C4024405
Abnormality of the tibial metaphysis,Abnormality of the wide portion of shinbone|Abnormality of the wide portion of shankbone,HP:0006491,UMLS:C4025038
Abnormal Ishihara plate test,,HP:0030586,UMLS:C4073059
Multicentric ossification of proximal humeral epiphyses,,HP:0004997,UMLS:C1857192
Duplication of the distal phalanx of the 5th toe,Partial/complete duplication of the distal phalanx of the 5th toe|Duplication of the distal phalanx of the fifth toe|Duplication of the outermost bone of the pinky toe|Duplication of the outermost bone of the fifth toe|Duplication of the outermost bone of the pinkie toe|Duplication of the outermost bone of the little toe,HP:0100400,UMLS:C4020997
Focal epileptiform discharges with limited propagation to contralateral hemisphere,,HP:0011186,UMLS:C4023488
Curved distal phalanx of the thumb,Curved outermost bone of the thumb,HP:0009644,UMLS:C4024259
Biconvex vertebral bodies,,HP:0004625,UMLS:C1866675
Glomus tympanicum paraganglioma,Tympanic nerve tumor|Tympanic nerve tumours|Tympanic nerve tumors|Tympanic nerve tumour,HP:0006715,UMLS:C1866555
Serpiginous stem of antihelix,"Antihelix, stem, serpiginous",HP:0011241,UMLS:C4021193
Degeneration of anterior horn cells,Loss of spinal cord anterior horn cells|Spinal cord anterior horn cell degeneration|Anterior horn cell loss|Progressive loss of anterior horn cells|Degeneration of spinal cord anterior horn cells|Degeneration of alpha-motor neurons in anterior horn cells of the spinal cord,HP:0002398,UMLS:C1843505
Hyperleucinemia,High blood leucine concentration,HP:0010911,UMLS:C0268576|SNOMEDCT_US:24013007
Incomplete congenital stationary night blindness,,HP:0030641,UMLS:C4073107
Neonatal hypotonia,"Low muscle tone, in neonatal onset|Hypotonia, in neonatal onset|Hypotonia, neonatal|Congenital hypotonia",HP:0001319,SNOMEDCT_US:205294008|MSH:D009123|UMLS:C2267233
Bullet-shaped middle phalanx of the 5th toe,Bullet-shaped middle bone of the pinky toe|Bullet-shaped middle bone of the little toe|Bullet-shaped middle bone of the pinkie toe,HP:0100436,UMLS:C4022091
Conotruncal defect,Conotruncal heart defects,HP:0001710,UMLS:C1853238
Complete duplication of the proximal phalanx of the 4th finger,Complete duplication of the proximal bone of the ring finger,HP:0009980,UMLS:C4024131
Bifid femur,Split thighbone|Notched thighbone,HP:0010443,UMLS:C4023824
Absent anterior chamber of the eye,,HP:0008037,UMLS:C0271004|SNOMEDCT_US:404675003|SNOMEDCT_US:55457007
Symphalangism of middle phalanx of finger,Fused middle finger bone,HP:0009849,UMLS:C4024184
Iliac crest serration,Lacy appearance of iliac crest|Irregular lacy iliac crest,HP:0008786,UMLS:C1857186
Calcinosis,Calcium buildup in soft tissues of body,HP:0003761,MSH:D002114|UMLS:C0006663|SNOMEDCT_US:6595006
Impairment of fructose metabolism,,HP:0011033,UMLS:C4023581
Aplasia/hypoplasia of the humerus,Absent/small long bone in upper arm|Absent/underdeveloped long bone in upper arm,HP:0006507,UMLS:C4025031
Jaw pain,Jaw pain,HP:0040264,SNOMEDCT_US:274667000|UMLS:C0236000
Thyroid crisis,,HP:0011782,UMLS:C0040127|MSH:D013958|SNOMEDCT_US:29028009
Skin nodule,Growth of abnormal tissue on or under the skin,HP:0200036,SNOMEDCT_US:95319004|UMLS:C0037287
Enlarged interphalangeal joints,Enlarged hinge joints,HP:0006247,UMLS:C1859701
Renal atrophy,Kidney degeneration,HP:0012585,UMLS:C0341698|SNOMEDCT_US:197659005
Dagger-shaped pulp calcifications,Dagger shaped pulp denticles|Dagger shaped pulp stones,HP:0006302,UMLS:C4025067
Meckel diverticulum,,HP:0002245,MSH:D008467|SNOMEDCT_US:127962001|UMLS:C0025037|SNOMEDCT_US:37373007|MEDDRA:10027055
Patent urachus,Persistent urachus,HP:0010479,UMLS:C0266357|SNOMEDCT_US:398316009
Inflammatory arteriopathy,,HP:0005291,UMLS:C4025222
Triangular epiphyses of the metacarpals,Triangular end part of the long bone of hand,HP:0009171,UMLS:C4024558
Abnormality of higher mental function,,HP:0011446,UMLS:C4023352
Abnormal proportion of memory B cells,,HP:0030373,UMLS:C4072912
Abnormality of the intervertebral disk,Abnormality of the intervertebral disc,HP:0005108,UMLS:C4025249
Pulmonary artery sling,,HP:0004961,UMLS:C1856123
Limb-girdle muscle atrophy,Limb-girdle myopathy|Wasting of limb-girdle muscle,HP:0003797,UMLS:C1404521|UMLS:C1842552
Bilateral vestibular Schwannoma,Bilateral acoustic neuromas,HP:0009589,MSH:D016518|UMLS:C1136042
Leukodystrophy,Degeneration of white matter of brain,HP:0002415,SNOMEDCT_US:192781003|UMLS:C0023520
Respiratory insufficiency due to defective ciliary clearance,,HP:0200073,UMLS:C3552099
Flat nasal alae,Depressed nasal alae|Flat nasal alar cartilage,HP:0010649,UMLS:C4023759
Stenosis of the Eustachian tube,,HP:0040118,SNOMEDCT_US:80101003|UMLS:C0271469
Ivory epiphysis of the distal phalanx of the 3rd finger,Increased bone density of end part of the outermost middle finger bone,HP:0009341,UMLS:C4024426
Synovial sarcoma,Malignant synovioma,HP:0012570,MSH:D013584|SNOMEDCT_US:63211008|SNOMEDCT_US:302851001|UMLS:C0039101
Night sweats,Night sweats|Nocturnal hyperhidrosis,HP:0030166,UMLS:C0028081|SNOMEDCT_US:42984000
Ectopic ossification in tendon tissue,,HP:0011988,UMLS:C4023095
Curved toe phalanx,Curved toe bone|Curved phalanges of the toes,HP:0010176,UMLS:C4021330
Abnormal circulating arginine concentration,Abnormality of arginine metabolism,HP:0010909,UMLS:C4023659
Position,,HP:0012830,UMLS:C4019252
Abnormality of tibial epiphyses,Abnormality of end part of shinbone,HP:0006508,UMLS:C4025030
Amyloidosis,Amyloid disease,HP:0011034,MSH:D000686|SNOMEDCT_US:17602002|UMLS:C0002726
Reduced consciousness/confusion,Lowered consciousness|Disturbances of consciousness|Reduced consciousness/confusion,HP:0004372,UMLS:C0234428|SNOMEDCT_US:3006004
1-2 finger syndactyly,Webbed 1st-2nd finger|Webbed thumb and index finger,HP:0010704,UMLS:C4023732
Patchy sclerosis of 5th finger phalanx,Uneven increase in bone density in little finger bone|Uneven increase in bone density in pinky finger bone|Uneven increase in bone density in pinkie finger bone|Patchy sclerosis of the phalanges of the 5th finger,HP:0009377,UMLS:C4021484
Thyrotoxicosis from ectopic thyroid tissue,,HP:0011783,SNOMEDCT_US:87232008|UMLS:C0154148
Pinhole visual acuity 1.1 LogMAR,,HP:0030579,UMLS:C4073052
Hyperactivity,Hyperactive behavior|More active than typical|Hyperactive behaviour,HP:0000752,SNOMEDCT_US:44548000|UMLS:C0424295|MSH:D006948
Abnormality of macular pigmentation,Macular pigmentary changes,HP:0008002,UMLS:C1837087|UMLS:C4024756
Upper limb peromelia,,HP:0009814,UMLS:C4024199
Enlarged epiphyses of the phalanges of the hand,Enlarged epiphyses of the fingers|Enlarged end part of finger bones|Enlarged phalangeal epiphyses,HP:0010231,UMLS:C1865036
Hypoplastic pelvis,Hypoplastic pelvic bones|Small pelvis,HP:0008839,UMLS:C3536734
Deep philtrum,"Philtrum, deep|Increased depth of philtrum|Prominent philtrum|Pronounced philtrum|Depressed philtrum",HP:0002002,UMLS:C1839797|UMLS:C4020861
Increased urinary potassium,Hyperkaliuresis|Increased urinary potassium|Increased urinary K,HP:0003081,UMLS:C1846351
Contracture of the distal interphalangeal joint of the 2nd toe,Contracture of the distal interphalangeal joint of the second toe,HP:0100352,UMLS:C4021015
Cavitation of the basal ganglia,,HP:0007007,UMLS:C4024952
Abnormal ventricular filling,,HP:0006683,UMLS:C4025005
Cheilitis,Inflammation of the lips|Red and sore lips,HP:0100825,SNOMEDCT_US:7847004|MSH:D002613|UMLS:C0007971|UMLS:C4280288
Abnormality of the epiphysis of the middle phalanx of the 3rd toe,Abnormality of the end part of the middle bone of the 3rd toe,HP:0100092,UMLS:C4022329
Subepidermal blistering with cleavage in the lamina lucida,Blistering with junctional split|Subepidermal blistering with cleavage in the lamina lucida|Junctional split,HP:0003341,UMLS:C4021730
Neoplasm of the genitourinary tract,Genitourinary tract neoplasm|Neoplasm of the GU tract|Genitourinary tract tumours|Genitourinary tract tumors|Genitourinary tract neoplasia,HP:0007379,MSH:D014565|UMLS:C0042065|UMLS:C4020809|NCIT:C3262
Glial remnants posterior to lens,Mittendorf dot,HP:0030742,UMLS:C1299892|SNOMEDCT_US:370483001
Ataxia,Cerebellar ataxia,HP:0001251,MSH:D002524|SNOMEDCT_US:85102008|UMLS:C0007758
Sclerotic foci in hand bones,,HP:0004289,UMLS:C4025367
Imperforate tricuspid valve,Unopened tricuspid valve,HP:0011575,UMLS:C4023292
Broad middle phalanx of the 5th finger,Broad middle bone of pinky finger|Wide middle phalanx of the 5th finger|Broad middle bone of pinkie finger|Broad middle bone of little finger,HP:0009169,UMLS:C4021517
Irregular sclerosis of hand bones,,HP:0004281,UMLS:C4025373
Membranous nephropathy,Membranous glomerulonephritis,HP:0012578,UMLS:C0017665|SNOMEDCT_US:77182004|MSH:D015433
Camptodactyly of 2nd-5th fingers,,HP:0001215,UMLS:C1859368
Primary adrenal insufficiency,Adrenocortical insufficiency|Primary adrenocortical failure|Addison's disease|Addison disease,HP:0008207,UMLS:C0405580|UMLS:C0001403|SNOMEDCT_US:373662000|SNOMEDCT_US:363732003|SNOMEDCT_US:386584007|MSH:D000224
Recurrent cutaneous fungal infections,,HP:0011370,UMLS:C4023394
Tracheal calcification,Calcification of the trachea|Tracheal calcifications|Tracheal ectopic calcification,HP:0002787,SNOMEDCT_US:81089005|UMLS:C0264324
Permanent atrial fibrillation,Chronic atrial fibrillation,HP:0004754,SNOMEDCT_US:440028005|UMLS:C2586056|SNOMEDCT_US:426749004|UMLS:C0694539
Modic type III vertebral endplate changes,Modic type 3 vertebral endplate changes,HP:0030778,UMLS:C4280775
EEG with abnormally slow frequencies,,HP:0011203,UMLS:C4023471
Testicular neoplasm,Testicular cancer|Testicular tumour|Testicular tumor|Testicular neoplasia,HP:0010788,MSH:D013736|NCIT:C3262|SNOMEDCT_US:126900000|UMLS:C0039590
Plaque-like facial hemangioma,"Hemangioma, facial, plaque-like",HP:0007434,UMLS:C1847884
Abnormality of the neck,Abnormality of the neck|Anomaly of the neck|Malformation of the neck|Deformity of the neck,HP:0000464,UMLS:C4280628|SNOMEDCT_US:40052002|SNOMEDCT_US:298390003|UMLS:C0266623|UMLS:C0575167
Small epiphyses of the 4th finger,Small end part of ring finger bone,HP:0009401,UMLS:C4024389
Complete diaphragmatic absence of pericardium,,HP:0011630,UMLS:C4023259
Exercise intolerance,Poor exercise tolerance|Inability to exercise|Low exercise endurance|Decreased ability to exercise,HP:0003546,UMLS:C0424551|SNOMEDCT_US:267044007
Increased megakaryocyte count,,HP:0005513,UMLS:C4025187
Slender nose,Slender nose,HP:0000417,UMLS:C1857645
Freckles in sun-exposed areas,Freckles in sun-exposed areas,HP:0007603,UMLS:C1859923
Hypoplastic spleen,Underdeveloped spleen,HP:0006270,UMLS:C1970617
Cystathioninemia,High blood cystathionine levels,HP:0003286,UMLS:C0268618|SNOMEDCT_US:6669004
Abnormal glucagon level,,HP:0030687,UMLS:C4073129
Recurrent bronchiolitis,,HP:0100501,UMLS:C4015136
Duplication of thumb phalanx,Complete/partial duplication of phalanges of the thumb|Duplication of phalanx of thumb|Duplicated thumbs|Duplicated thumb,HP:0009942,UMLS:C4021370
Hirsutism,Excessive hairiness,HP:0001007,UMLS:C0019572|SNOMEDCT_US:399939002|MSH:D006628
Absent ossification of cervical vertebral bodies,,HP:0005885,UMLS:C4025115
Patchy sclerosis of proximal toe phalanx,Patchy sclerosis of the proximal phalanges of the toes|Uneven increase in bone density in innermost toe bone,HP:0010208,UMLS:C4021313
Tongue-like lumbar vertebral deformities,,HP:0005680,UMLS:C4025156
Periarticular subcutaneous nodules,,HP:0007470,UMLS:C3806306
Paralytic ileus,,HP:0002590,UMLS:C0030446|MSH:D007418|SNOMEDCT_US:55525008
Small epiphysis of the 1st metacarpal,Small end part of the 1st long bone of hand,HP:0010023,UMLS:C4024100
Decreased beta-galactosidase activity,Decreased beta galactosidase activity|Beta-galactosidase-1 deficiency|Beta-galactosidase deficiency in fibroblasts and white blood cells,HP:0008166,UMLS:C1854788|MSH:D016537|UMLS:C1856559|SNOMEDCT_US:238025006|UMLS:C0085131
Diffuse reticular or finely nodular infiltrations,,HP:0002207,UMLS:C1843428
Complete duplication of the distal phalanx of the 4th finger,Complete duplication of the outermost bone of the ring finger,HP:0009978,UMLS:C4024133
Perineal hypospadias,,HP:0000051,SNOMEDCT_US:204890004|UMLS:C0452148
Increased endomysial connective tissue,,HP:0100297,UMLS:C4022161
Reduced insulin like growth factor binding protein acid labile subunit level,Acid-labile subunit deficiency|Decreased levels of acid labile subunit,HP:0045046,UMLS:C3900122
Osteolytic defects of the phalanges of the 4th toe,,HP:0010375,UMLS:C4023873
Abnormal facial vein morphology,Abnormality of facial vein|Abnormal vein of face,HP:3000043,UMLS:C4073251
Hypoplasia of lymphatic vessels,Underdeveloped lymphatic vessels,HP:0003759,UMLS:C4025570
Small trapezoid bone,,HP:0004258,UMLS:C4025387
Abnormal best corrected visual acuity test,,HP:0030534,UMLS:C4073008
Velopharyngeal insufficiency,Velopharyngeal dysfunction|Velopharyngeal incompetence,HP:0000220,SNOMEDCT_US:278714002|UMLS:C4280669|MSH:D014681|UMLS:C0042454|SNOMEDCT_US:229727006|SNOMEDCT_US:232416001
Yellow nails,Yellow nails,HP:0011367,UMLS:C1768507|SNOMEDCT_US:45342007
Equinus calcaneus,Equinus deformity of the calcaneus|Hindfoot equinus,HP:0008138,UMLS:C1860449
Vertical nystagmus,,HP:0010544,MSH:D009759|UMLS:C0271386|SNOMEDCT_US:111533001
Accessory scrotum,Extra scrotum,HP:0030274,UMLS:C4022543
Cortical thickening of humeral diaphysis,,HP:0003928,UMLS:C4025500
Decreased mitochondrial number,,HP:0040013,UMLS:C4022493
Low-grade fever,Mild fever|Low-grade fever,HP:0011134,UMLS:C0239574|SNOMEDCT_US:304213008
Neuroectodermal neoplasm,,HP:0030061,MSH:D017599|SNOMEDCT_US:253096008|UMLS:C0206093|SNOMEDCT_US:73676002
Midclavicular hypoplasia,Underdeveloped middle portion of the collarbone,HP:0006608,UMLS:C1844530
Congenital alopecia totalis,,HP:0005597,UMLS:C4025175
Tented upper lip vermilion,Inverted V-shaped upper lip|Tented mouth|Tented upper lip,HP:0010804,UMLS:C1850072|UMLS:C1839767|UMLS:C1853383
Head tremor,Head tremor,HP:0002346,UMLS:C0239882
Decreased circulating antibody level,Decreased antibody level in blood|Decreased immunoglobulin level|Hypogammaglobulinemia|Reduced immunoglobulin levels|Immunoglobulin deficiency|Decreased serum immunoglobulin,HP:0004313,UMLS:C4048270|SNOMEDCT_US:119250001|MSH:D000361|UMLS:C0086438
Macrocephaly,Big head|Increased size of head|Big calvaria|Big skull|Large cranium|Large calvaria|Large skull|Big cranium|Megacephaly|Increased size of cranium|Macrocrania|Large head|Large head circumference|Increased size of skull,HP:0000256,UMLS:C4083076|UMLS:C4280663|UMLS:C4280664|UMLS:C4255213|Fyler:4335
Abnormality of the respiratory system,Respiratory abnormality,HP:0002086,UMLS:C4018871
Macular edema,Macular oedema,HP:0040049,MSH:D008269|SNOMEDCT_US:37231002|UMLS:C0271051
Prominent prostate median bar,,HP:0008742,UMLS:C4024629
Cone-shaped epiphysis of the proximal phalanx of the 2nd toe,Cone-shaped end part of the innermost bone of the 2nd toe,HP:0100124,UMLS:C4022297
Cortical sclerosis,,HP:0005652,UMLS:C4025164
Palmoplantar keratosis with erythema and scale,,HP:0007548,UMLS:C1843294
Tonic pupil,Adie's tonic pupil|Adie pupil,HP:0012074,MSH:D015845|SNOMEDCT_US:24225004|UMLS:C0040416
Monocular horizontal nystagmus,,HP:0007747,UMLS:C4024807
Intermittent thrombocytopenia,,HP:0004854,UMLS:C1839167
Large cafe-au-lait macules with irregular margins,,HP:0005605,UMLS:C4025174
Fragmentation of the epiphysis of the proximal phalanx of the hallux,Fragmentation of the end part of the innermost bone of the big toe,HP:0010131,UMLS:C4024028
Increased urinary thiosulfate,,HP:0011943,UMLS:C3148695
Impacted tooth,Buried tooth|Impacted tooth|Retained tooth,HP:0011079,MSH:D014095|SNOMEDCT_US:129263008|UMLS:C4280338|SNOMEDCT_US:235104008|UMLS:C0040456
Hemihypertrophy,Asymmetric overgrowth|Asymmetric limb hypertrophy,HP:0001528,SNOMEDCT_US:56007004|SNOMEDCT_US:205838004|UMLS:C0332890
Prolonged QTc interval,,HP:0005184,UMLS:C1560305
Bullet-shaped distal phalanx of the 5th finger,Bullet-shaped outermost pinky finger bone|Bullet-shaped outermost little finger bone|Bullet-shaped outermost pinkie finger bone,HP:0009241,UMLS:C4024505
Anal margin basal cell carcinoma,,HP:0030443,UMLS:C1332269
Abnormal genital pigmentation,,HP:0012293,UMLS:C4022965
Tarsometatarsal synostosis,Fused bones of the midfoot,HP:0100329,UMLS:C4022144
Infantile muscular hypotonia,"Hypotonia early|Hypotonia in infancy|Infantile hypotonia|Hypotonia, early|Decreased muscle tone in infant",HP:0008947,UMLS:C1860834
Abnormal thrombosis,Abnormal blood clotting|Abnormal blood clot,HP:0001977,UMLS:C4025731
Blue sclerae,Blue outer white part of eyeball|Whites of eyes are a bluish-gray color|Whites of eyes are a bluish-gray colour|Bluish sclerae|Blue sclera,HP:0000592,SNOMEDCT_US:204164000|UMLS:C0542514
Enlarged epiphyses of the 4th toe,Enlarged end part of the 4th toe bone,HP:0100069,UMLS:C4022352
Chronic mucocutaneous candidiasis,"Mucocutaneous candidiasis|Chronic candidiasis of mucosa, skin and nails",HP:0002728,SNOMEDCT_US:234568006|UMLS:C0006845|MSH:D002178
Hypoplasia of the ear cartilage,Underdeveloped ear cartilage,HP:0100720,UMLS:C4021986
Club-shaped distal femur,Club-shaped distal femora|Club-shaped outermost end of thighbone,HP:0006384,UMLS:C1857505
Blepharochalasis,Saggy upper eyelid skin,HP:0010749,SNOMEDCT_US:47704002|UMLS:C0005742
Contracture of the metacarpophalangeal joint of the 4th finger,,HP:0009277,UMLS:C4024475
Orthostatic syncope,,HP:0012670,UMLS:C0749201
Abnormal amplitude of light-adapted flicker electroretinogram,,HP:0030479,UMLS:C4072969
Choking episodes,,HP:0030842,UMLS:C4280747
Hearing abnormality,Abnormal hearing|Hearing abnormality,HP:0000364,UMLS:C4025860
Triangular shaped phalanges of the 3rd finger,Triangular shaped bone of the middle finger,HP:0009446,UMLS:C4024357
Depletion of components of the alternative complement pathway,,HP:0005389,UMLS:C1969220
Arrhythmia,Cardiac arrhythmia|Irregular heart beat|Abnormal heart rate|Cardiac arrhythmias|Irregular heartbeat|Cardiac rhythm disturbances|Heart rhythm disorders|Arrhythmias,HP:0011675,UMLS:C0855329|SNOMEDCT_US:102594003|UMLS:C0264886|MSH:C562490|UMLS:C1842820|MSH:D001145|UMLS:C0003811|SNOMEDCT_US:698247007|UMLS:C1832603|SNOMEDCT_US:44808001|UMLS:C0522055
Abnormal intermamillary distance,,HP:0040157,UMLS:C4022412
Temporomandibular joint ankylosis,Ankylosis of temporomandibular joint|Rigidity of the temporomandibular joint|Temporomandibular joint fusion|Freezing of jaw joint|Freezing of the temporomandibular joint|Adhesion of the temporomandibular joint,HP:0012478,UMLS:C0685924|MSH:C536957|UMLS:C0575010|SNOMEDCT_US:298231004|UMLS:C2931375|SNOMEDCT_US:91866004|SNOMEDCT_US:50603008
Absent fourth finger distal interphalangeal crease,No fourth finger distal interphalangeal crease,HP:0005780,UMLS:C4021621
Gallbladder dyskinesia,,HP:0012442,UMLS:C1449631|MSH:D001657
Labial pseudohypertrophy,,HP:0008739,UMLS:C1835380
Limb muscle weakness,Limb muscle weakness|Limb weakness,HP:0003690,UMLS:C0587246|SNOMEDCT_US:713514005
Abnormally low-pitched voice,,HP:0010300,UMLS:C4023915
Fatal liver failure in infancy,Fatal liver failure in infancy,HP:0006583,UMLS:C4025017
Abnormality of the fetal cardiovascular system,Abnormality of the foetal circulation system|Abnormality of the foetal cardiovascular system|Abnormality of the fetal circulation system,HP:0010948,UMLS:C4021210
Hypoplastic vertebral bodies,Small vertebral bodies|Underdeveloped back bones|Small vertebrae,HP:0008479,UMLS:C1863353
Reduced dihydropyrimidine dehydrogenase level,Dihydropyrimidine dehydrogenase deficiency,HP:0003654,UMLS:C4025582|UMLS:C1959620|SNOMEDCT_US:77365006|MSH:D054067
Bleeding requiring red cell transfusion,Bleeding requiring red cell transfusion,HP:0011888,UMLS:C4023144
Abnormality of the epiphysis of the proximal phalanx of the 2nd finger,Epiphyseal abnormality of the proximal phalanx of the 2nd finger,HP:0009501,UMLS:C4021462
Headache,Headache|Headaches,HP:0002315,UMLS:C0018681|MSH:D006261|SNOMEDCT_US:25064002
Aglossia,Missing tongue|Failure of development of tongue|Absence of tongue,HP:0012730,SNOMEDCT_US:74788000|UMLS:C0158663
Sacral segmentation defect,,HP:0008490,UMLS:C1850329
Angioedema,Angioneurotic oedema|Quincke edema|Quincke oedema|Angiooedema,HP:0100665,SNOMEDCT_US:400075008|SNOMEDCT_US:41291007|MSH:D000799|UMLS:C0002994
Irregular ossification of humeral metaphyses,Irregular bone maturation of the wide portion of the long bone in upper arm,HP:0003914,UMLS:C4025513
Pleuritis,Inflammation of tissues lining lungs and chest|Pleurisy,HP:0002102,SNOMEDCT_US:196075003|MSH:D010998|UMLS:C0032231
Choroid plexus calcification,Calcified choroid plexus,HP:0006960,UMLS:C1863184
Aplasia/Hypoplasia of the retina,Absent/small retina|Absent/underdeveloped retina,HP:0008061,UMLS:C4024740
Abnormality of the phalanges of the 4th toe,,HP:0010336,UMLS:C4023896
Synostosis involving bones of the upper limbs,Fusion involving bones of the upper limbs,HP:0100238,UMLS:C4022184
Ocular albinism,"Absent pigmentation in the eye|Albinism, Ocular",HP:0001107,SNOMEDCT_US:26399002|UMLS:C0078917|MSH:D016117
Proximal limb muscle stiffness,,HP:0007066,UMLS:C1861460
Sacral dimple,Pilonidal dimple|Spinal dimple,HP:0000960,UMLS:C0426848|SNOMEDCT_US:249729002|SNOMEDCT_US:311897005
Glomerular sclerosis,Renal glomerular fibrosis|Glomerulosclerosis,HP:0000096,SNOMEDCT_US:197661001|UMLS:C0178664|SNOMEDCT_US:82646005
Increased susceptibility to fractures,Frequent broken bones|Abnormal susceptibility to fractures|Increased susceptibility to fractures|Increased bone fragility|Bone fragility|Increased tendency to fractures,HP:0002659,UMLS:C1390474
